#
# Initial mass = 2.500, Z =  0.0010, Y =  0.250, M_mix = 1.00E-03
#
# Initial abundances
# El  Z   log e(X)   [X/H]    [X/Fe]     [X/O]      X(i)
  p   1  12.000000  0.000000  0.000000  0.000000 6.93046E-01
 he   2  11.031292  0.101292  1.235019  1.022298 2.95787E-01
  c   6   9.228893  0.758893  1.892621  1.679899 1.39886E-02
  n   7   7.204187 -0.665813  0.467915  0.255193 1.54111E-04
  o   8   7.808993 -0.921006  0.212721  0.000000 7.08579E-04
  f   9   5.436835  0.976835  2.110562  1.897841 3.57145E-06
 ne  10   8.072073  0.102073  1.235801  1.023079 1.63793E-03
 na  11   6.015253 -0.294747  0.838981  0.626259 1.63717E-05
 mg  12   6.771754 -0.868246  0.265481  0.052760 9.87988E-05
 al  13   5.586222 -0.883778  0.249950  0.037229 7.15482E-06
 si  14   6.435290 -1.114710  0.019017 -0.193704 5.26116E-05
  p  15   4.483165 -0.986835  0.146893 -0.065829 6.47835E-07
  s  16   6.027475 -1.132525  0.001203 -0.211519 2.34860E-05
 cl  17   4.155717 -1.074283  0.059444 -0.153277 3.48877E-07
 ar  18   5.303921 -1.136079 -0.002352 -0.215073 5.52991E-06
  k  19   3.971447 -1.108553  0.025175 -0.187547 2.51712E-07
 ca  20   5.151849 -1.138151 -0.004423 -0.217144 3.90893E-06
 sc  21   2.134294 -0.915706  0.218021  0.005300 4.21099E-09
 ti  22   3.799011 -1.110989  0.022739 -0.189982 2.07181E-07
  v  23   2.816955 -1.143045 -0.009318 -0.222039 2.29791E-08
 cr  24   4.489521 -1.150479 -0.016751 -0.229473 1.10355E-06
 mn  25   4.349969 -1.130031  0.003696 -0.209025 8.45559E-07
 fe  26   6.406272 -1.133728  0.000000 -0.212721 9.78495E-05
 co  27   4.174588 -0.695412  0.438315  0.225594 6.05687E-07
 ni  28   5.092986 -1.107014  0.026714 -0.186007 4.99890E-06
 cu  29   3.544383 -0.705617  0.428111  0.215389 1.53029E-07
 zn  30   3.599520 -1.030480  0.103247 -0.109474 1.78838E-07
 ga  31   2.311711 -0.768289  0.365439  0.152718 9.82629E-09
 ge  32   2.769555 -0.810445  0.323283  0.110561 2.93787E-08
 as  33   1.405869 -0.894131  0.239596  0.026875 1.31154E-09
 se  34   2.661249 -0.678751  0.454977  0.242255 2.48862E-08
 br  35   1.733163 -0.806837  0.326890  0.114169 2.97190E-09
 kr  36   2.867922 -0.382078  0.751649  0.538928 4.25067E-08
 rb  37   2.205795 -0.154205  0.979523  0.766802 9.43846E-09
 sr  38   2.910872  0.030872  1.164600  0.951879 4.90657E-08
  y  39   2.377786  0.207786  1.341513  1.128792 1.45888E-08
 zr  40   2.805120  0.275120  1.408847  1.196126 4.00434E-08
 nb  41   1.676840  0.266840  1.400567  1.187846 3.03519E-09
 mo  42   2.120958  0.180958  1.314686  1.101964 8.71486E-09
 tc  43   0.214855 -9.000000  0.000000  0.000000 1.10505E-10
 ru  44   1.563506 -0.196494  0.937234  0.724512 2.54350E-09
 rh  45   0.534176 -0.525824  0.607903  0.395182 2.42058E-10
 pd  46   1.598430 -0.051570  1.082157  0.869436 2.90239E-09
 ag  47   0.671401 -0.528599  0.605129  0.392407 3.48014E-10
 cd  48   1.844380  0.134380  1.268108  1.055387 5.40122E-09
 in  49   0.747597 -0.012403  1.121324  0.908603 4.41478E-10
 sn  50   2.377172  0.307173  1.440900  1.228179 1.94519E-08
 sb  51   0.876999 -0.133001  1.000726  0.788005 6.30674E-10
 te  52   1.981386 -0.198614  0.935114  0.722392 8.40503E-09
  i  53   0.915406 -0.634594  0.499134  0.286412 7.18098E-10
 xe  54   2.192288 -0.047712  1.086016  0.873295 1.40551E-08
 cs  55   1.286696  0.206696  1.340424  1.127703 1.76823E-09
 ba  56   2.939351  0.759351  1.893079  1.680357 8.21124E-08
 la  57   1.946775  0.776775  1.910503  1.697782 8.44887E-09
 ce  58   2.484057  0.904057  2.037785  1.825064 2.93662E-08
 pr  59   1.459424  0.699424  1.833152  1.620430 2.79037E-09
 nd  60   2.158851  0.708851  1.842578  1.629857 1.42968E-08
 pm  61   0.000000 -9.000000  0.000000  0.000000 0.00000E+00
 sm  62   1.391556  0.451556  1.585283  1.372562 2.54678E-09
 eu  63   0.360139 -0.149861  0.983866  0.771145 2.39432E-10
 gd  64   1.288857  0.238858  1.372585  1.159864 2.10257E-09
 tb  65   0.267490 -0.052510  1.081218  0.868497 2.02295E-10
 dy  66   1.406773  0.276773  1.410500  1.197779 2.85055E-09
 ho  67   0.387737 -0.082263  1.051465  0.838743 2.76911E-10
 er  68   1.265213  0.345213  1.478940  1.266219 2.11790E-09
 tm  69   0.291796  0.171796  1.305523  1.092802 2.27413E-10
 yb  70   1.595762  0.675762  1.809490  1.596768 4.69042E-09
 lu  71   0.633197  0.543197  1.676924  1.464203 5.16958E-10
 hf  72   1.571799  0.861799  1.995527  1.782805 4.57842E-09
 ta  73   0.594063  0.714063  1.847790  1.635069 4.88561E-10
  w  74   1.513391  0.863391  1.997118  1.784397 4.12224E-09
 re  75   0.599139  0.339139  1.472867  1.260145 5.08672E-10
 os  76   1.513583  0.163583  1.297311  1.084589 4.26741E-09
 ir  77   0.739940 -0.580060  0.553667  0.340946 7.26162E-10
 pt  78   1.460612 -0.159388  0.974340  0.761618 3.87368E-09
 au  79   0.662015 -0.137985  0.995742  0.783021 6.21886E-10
 hg  80   1.936317  0.766317  1.900045  1.687324 1.19105E-08
 tl  81   1.758163  0.988163  2.121891  1.909170 8.05213E-09
 pb  82   3.664187  1.624187  2.757915  2.545194 6.57475E-07
 bi  83   2.000298  1.350298  2.484025  2.271304 1.43782E-08
 po  84   2.462024 -9.000000  0.000000  0.000000 4.16363E-08
#[ls/Fe]_Thiswork =   1.3050, [hs/Fe]_Thiswork =   1.9471
#[hs/ls]_Thiswork =   0.6421, [Pb/hs]_Thiswork =   0.8108
# Elemental abundance ratios: 
# He/H =  1.0747E-01, C/O =  2.6297E+01, N/O = 2.48424E-01
